text,label
"Someone keeps threatening me on WhatsApp",threats
"He is threatening to harm me if I complain",threats
"My senior is forcing me to do humiliating things",ragging
"I am scared because seniors are mentally torturing me",ragging
"I was touched inappropriately in college",sexual_harassment
"He passed vulgar comments on me in class",sexual_harassment
"I am being stalked online repeatedly",cyber_harassment
"Someone created a fake account to harass me",cyber_harassment
"I was beaten near the hostel",physical_assault
"He hit me badly during an argument",physical_assault
"He keeps abusing me verbally in front of others",verbal_abuse
"I am being insulted repeatedly using bad words",verbal_abuse
"I received anonymous threat calls at night",threats
"Someone is threatening to leak my photos",threats
"He warned me not to go to police",threats
"I am getting threat messages repeatedly",threats
"My seniors are forcing me to clean their rooms",ragging
"Seniors made me stand outside hostel as punishment",ragging
"I am being humiliated by seniors daily",ragging
"Someone is sending obscene messages on Instagram",cyber_harassment
"I am being harassed through fake social media accounts",cyber_harassment
"Someone hacked my account and is abusing me",cyber_harassment
"I was beaten by a group of students",physical_assault
"I was attacked physically near the hostel",physical_assault
"Someone hit me badly during a fight",physical_assault
"I was assaulted by a group on campus",physical_assault
"They punched and kicked me repeatedly",physical_assault
"I suffered injuries after being beaten",physical_assault
"I was attacked at night near college gate",physical_assault
"He used physical force against me",physical_assault
"I was physically assaulted by seniors",physical_assault
"I was beaten and injured badly",physical_assault
"Someone is harassing me through fake Instagram accounts",cyber_harassment
"I am being abused using fake social media profiles",cyber_harassment
"Someone created fake accounts to harass me online",cyber_harassment
"I am receiving harassment messages on Instagram",cyber_harassment
"Someone is stalking me on social media platforms",cyber_harassment
"I am being harassed through WhatsApp messages",cyber_harassment
"Someone is sending threatening DMs online",cyber_harassment
"I am getting abusive messages through fake accounts",cyber_harassment
"My senior is humiliating me in college",ragging
"My seniors force me to do embarrassing tasks",ragging
"I am being tortured by seniors in hostel",ragging
My seniors are forcing me to do embarrassing tasks,ragging
My seniors are forcing me to do embarrassing tasks,verbal_abuse
Seniors made me clean their rooms forcefully,ragging
Seniors made me clean their rooms forcefully,verbal_abuse
I am being humiliated by seniors daily,ragging
I am being humiliated by seniors daily,verbal_abuse
My senior shouted at me in front of others,ragging
My senior shouted at me in front of others,verbal_abuse
Seniors are mentally torturing juniors,ragging
Seniors are mentally torturing juniors,verbal_abuse
I am scared of my seniors in hostel,ragging
My seniors force me to follow their orders,ragging
My senior threatened me during ragging,ragging
My senior threatened me during ragging,threats
My seniors slapped me for refusing,ragging
My seniors slapped me for refusing,physical_assault

Someone is threatening to kill me,threats
I received threat messages late at night,threats
Someone warned me not to complain,threats
I am getting repeated threat calls,threats
Someone is threatening my family,threats
He said he will harm me if I speak,threats
I received anonymous threat calls,threats
Someone is intimidating me constantly,threats
I was threatened using messages,threats
Someone threatened me on WhatsApp,threats
Someone threatened me on WhatsApp,cyber_harassment
Someone threatened me on WhatsApp,verbal_abuse

Someone is harassing me through fake Instagram accounts,cyber_harassment
Someone created fake profiles to harass me,cyber_harassment
I am receiving abusive messages online,cyber_harassment
Someone is stalking me on social media,cyber_harassment
I am being harassed through WhatsApp messages,cyber_harassment
Someone hacked my account and abused me,cyber_harassment
I am getting threatening DMs online,cyber_harassment
Someone is spreading hate messages online,cyber_harassment
Someone is sending obscene texts online,cyber_harassment
Someone is sending obscene texts online,sexual_harassment
Someone leaked my chats online,cyber_harassment
Someone leaked my chats online,privacy_violation
I am being bullied in online groups,cyber_harassment
I am being bullied in online groups,verbal_abuse

I was beaten by a group near hostel,physical_assault
Someone attacked me physically on campus,physical_assault
I was injured during a fight,physical_assault
I was assaulted by seniors using force,physical_assault
I was assaulted by seniors using force,ragging
Someone punched me badly,physical_assault
I was kicked and beaten repeatedly,physical_assault
I was attacked near college gate,physical_assault
I suffered injuries after being beaten,physical_assault
Someone hit me with an object,physical_assault
I was forced into violence by seniors,physical_assault
I was forced into violence by seniors,ragging

I was touched inappropriately in college,sexual_harassment
Someone made sexual comments on me,sexual_harassment
He passed vulgar remarks in class,sexual_harassment
He passed vulgar remarks in class,verbal_abuse
Someone showed obscene gestures at me,sexual_harassment
Someone tried to grope me,sexual_harassment
I am facing unwanted physical contact,sexual_harassment
Someone commented on my body,sexual_harassment
Someone commented on my body,verbal_abuse
I am being sexually harassed online,sexual_harassment
I am being sexually harassed online,cyber_harassment

He keeps abusing me verbally,verbal_abuse
I am being insulted using bad words,verbal_abuse
Someone shouted at me repeatedly,verbal_abuse
I am verbally abused in class,verbal_abuse
They mock me in front of others,verbal_abuse
Someone humiliates me using words,verbal_abuse
I am being verbally bullied,verbal_abuse
Someone is constantly taunting me,verbal_abuse

Someone is following me regularly,stalking
I am being followed near my hostel,stalking
Someone keeps watching me,stalking
I am being stalked on social media,stalking
He waits outside my class daily,stalking
Someone tracks my movements,stalking
Someone keeps calling and following me,stalking
Someone keeps calling and following me,threats

Someone is blackmailing me using my photos,blackmail
He threatened to leak my private images,blackmail
He threatened to leak my private images,privacy_violation
Someone is blackmailing me online,blackmail
Someone is blackmailing me online,cyber_harassment
I am being blackmailed for money,blackmail
I am being blackmailed for money,extortion
Someone is threatening me with screenshots,blackmail
Someone is threatening me with screenshots,cyber_harassment

Someone is demanding money and threatening me,extortion
I am forced to pay money repeatedly,extortion
Someone extorted money from me,extortion
I am being threatened for money,extortion
I am being threatened for money,threats
Someone demanded money using force,extortion

I am treated badly because of my caste,discrimination
I face discrimination in college,discrimination
I am discriminated against because of my religion,discrimination
I am treated unfairly due to my gender,discrimination
Teachers show bias against me,discrimination
I am excluded because of my background,discrimination
I am bullied due to my identity,discrimination
I am bullied due to my identity,verbal_abuse

Someone is spreading false rumours about me,defamation
My reputation is being damaged intentionally,defamation
Someone accused me falsely,defamation
False allegations are made against me,defamation
Someone posted lies about me online,defamation
Someone posted lies about me online,cyber_harassment
My image is being ruined publicly,defamation

I was cheated by someone promising help,cheating_fraud
Someone took money and disappeared,cheating_fraud
I was scammed by a student,cheating_fraud
Someone cheated me financially,cheating_fraud
I lost money due to fraud,cheating_fraud
Someone made fake promises and cheated me,cheating_fraud

Someone shared my private photos without permission,privacy_violation
My personal data was leaked online,privacy_violation
Someone accessed my private messages,privacy_violation
My photos were circulated without consent,privacy_violation
Someone recorded me without permission,privacy_violation
Someone misused my personal information,privacy_violation
My senior is threatening me through WhatsApp,threats
My senior is threatening me through WhatsApp,cyber_harassment
My senior is threatening me through WhatsApp,ragging
text,label
My college is refusing to return my certificates,extortion
My college is refusing to return my certificates,threats
The management is holding my original documents,extortion
The management is holding my original documents,threats
College is asking money to release my certificates,extortion
College is asking money to release my certificates,threats
They are not giving my TC intentionally,extortion
They are not giving my TC intentionally,threats
My marksheets are withheld by college,extortion
My marksheets are withheld by college,threats

College threatened suspension if I complain,threats
College threatened suspension if I complain,verbal_abuse
Faculty is mentally harassing students,verbal_abuse
Faculty humiliates students in class,verbal_abuse
Teacher insulted me publicly,verbal_abuse
Staff shouted at me repeatedly,verbal_abuse
Faculty threatened me with failure,threats
Faculty threatened me with failure,verbal_abuse

College leaked my personal details,privacy_violation
My academic records were shared without permission,privacy_violation
Student data was leaked online,privacy_violation
College shared my phone number publicly,privacy_violation
My photos were used without consent,privacy_violation

College is discriminating based on caste,discrimination
I am treated unfairly due to my religion,discrimination
Girls are treated differently in college,discrimination
Staff shows favoritism among students,discrimination
I am targeted due to my background,discrimination
Marks were reduced due to bias,discrimination

False complaint was filed against me,defamation
College accused me falsely,defamation
My image is being ruined by false allegations,defamation
Faculty spread lies about me,defamation
Rumors were spread about my character,defamation

I was forced to work unpaid for college,extortion
I was forced to do unpaid internship,extortion
College forced students to do free labor,extortion
They demanded money for internal marks,extortion
They demanded money for attendance,extortion

College staff threatened me over phone,threats
College admin threatened police action,threats
They warned me not to complain,threats
College intimidated me continuously,threats

Students are bullied in college groups,cyber_harassment
Faculty harasses students through messages,cyber_harassment
Official group is used to insult students,cyber_harassment
College posted student details online,cyber_harassment
Students are abused in online portals,cyber_harassment

Teacher made sexual comments,sexual_harassment
Staff behaved inappropriately,sexual_harassment
Faculty passed vulgar remarks,sexual_harassment
Unwanted physical contact by staff,sexual_harassment

College guards assaulted students,physical_assault
Students were beaten during protest,physical_assault
Security hit students forcefully,physical_assault
Physical violence during college event,physical_assault

College staff is stalking students,stalking
A staff member follows me regularly,stalking
Someone waits near my hostel daily,stalking

College blackmailed me using attendance,blackmail
They threatened to fail me to extract money,blackmail
They used my records to threaten me,blackmail

College cheated students with fake promises,cheating_fraud
Fees were taken without providing facilities,cheating_fraud
Fake placement promises were made,cheating_fraud
College collected money fraudulently,cheating_fraud

College published false notices about me,defamation
My name was publicly shamed,defamation
False disciplinary notice was issued,defamation

Students are verbally abused by staff,verbal_abuse
Students are threatened during counseling,threats
Students are mentally tortured,verbal_abuse
